------->U2000Name, NeName, CellId<------
WAW,14_WAR3083E_1_WYSPIANSKIEGO_2,27
WAW,14_WAR1036G_1_PL_GRZYBOWSKI_3,46
WAW,14_WAR1036G_1_PL_GRZYBOWSKI_3,56
WAW,14_WAR1036G_1_PL_GRZYBOWSKI_3,66
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,130
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,90
WAW,14_WAR1513B_1_PIASKOWA_9,116
WAW,14_WAR1513B_1_PIASKOWA_9,86
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,120
WAW,14_WAR8028A_1_TWARDA_2_4,14
WAW,14_WAR1018C_1_ZELAZNA_91,101
WAW,14_WAR1018C_1_ZELAZNA_91,121
WAW,14_WAR1018C_1_ZELAZNA_91,128
WAW,14_WAR1018C_1_ZELAZNA_91,148
WAW,14_WAR1018C_1_ZELAZNA_91,98
WAW,14_WAR1018C_1_ZELAZNA_91,118
WAW,14_WAR1018C_1_ZELAZNA_91,100
WAW,14_WAR1018C_1_ZELAZNA_91,120
WAW,14_WAR1018C_1_ZELAZNA_91,111
WAW,14_WAR1018C_1_ZELAZNA_91,138
WAW,14_WAR1018C_1_ZELAZNA_91,108
WAW,14_WAR1018C_1_ZELAZNA_91,110
WAW,14_WAR1513B_1_PIASKOWA_9,98
WAW,14_WAR1513B_1_PIASKOWA_9,109
WAW,14_WAR1513B_1_PIASKOWA_9,108
WAW,14_WAR1513B_1_PIASKOWA_9,89
WAW,14_WAR1513B_1_PIASKOWA_9,88
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,140
WAW,14_WAR1142A_1_JANA_PAWLA_II_2,100
WAW,14_WAR1513B_1_PIASKOWA_9,126
WAW,14_WAR1513B_1_PIASKOWA_9,96
WAW,14_WAR1513B_1_PIASKOWA_9,136
WAW,14_WAR1513B_1_PIASKOWA_9,106
WAW,14_WAR1014C_1_ANIELEWICZA_36,102
WAW,14_WAR1014C_1_ANIELEWICZA_36,92
WAW,14_WAR1014C_1_ANIELEWICZA_36,62
WAW,14_WAR1014C_1_ANIELEWICZA_36,112
WAW,14_WAR1014C_1_ANIELEWICZA_36,72
WAW,14_WAR1014C_1_ANIELEWICZA_36,82
WAW,14_WAR3105G_1_KRASINSKIEGO_19,69
WAW,14_WAR3105G_1_KRASINSKIEGO_19,79
WAW,14_WAR3105G_1_KRASINSKIEGO_19,89
WAW,14_WAR3105G_1_KRASINSKIEGO_19,96
WAW,14_WAR3105G_1_KRASINSKIEGO_19,106
WAW,14_WAR3105G_1_KRASINSKIEGO_19,116
WAW,14_WAR3105G_1_KRASINSKIEGO_19,66
WAW,14_WAR3105G_1_KRASINSKIEGO_19,76
WAW,14_WAR3105G_1_KRASINSKIEGO_19,86
WAW,14_WAR3105G_1_KRASINSKIEGO_19,68
WAW,14_WAR3105G_1_KRASINSKIEGO_19,78
WAW,14_WAR3105G_1_KRASINSKIEGO_19,88
WAW,14_WAR2301A_1_STALOWA_12,128
WAW,14_WAR2301A_1_STALOWA_12,138
WAW,14_WAR2301A_1_STALOWA_12,148
WAW,14_WAR2301A_1_STALOWA_12,98
WAW,14_WAR2301A_1_STALOWA_12,108
WAW,14_WAR2301A_1_STALOWA_12,118
WAW,14_WAR1083A_1_MARSZALKOWSKA,144
WAW,14_WAR1083A_1_MARSZALKOWSKA,114
WAW,14_WAR1023H_1_TARGOWA_39,98
WAW,14_WAR1023H_1_TARGOWA_39,68
WAW,14_WAR1023H_1_TARGOWA_39,88
WAW,14_WAR1023H_1_TARGOWA_39,108
WAW,14_WAR1023H_1_TARGOWA_39,58
WAW,14_WAR1023H_1_TARGOWA_39,78
WAW,14_WAR1032B_1_ZELAZNA_64,89
WAW,14_WAR1032B_1_ZELAZNA_64,99
WAW,14_WAR1032B_1_ZELAZNA_64,109
WAW,14_WAR1032B_1_ZELAZNA_64,116
WAW,14_WAR1032B_1_ZELAZNA_64,126
WAW,14_WAR1032B_1_ZELAZNA_64,136
WAW,14_WAR1032B_1_ZELAZNA_64,86
WAW,14_WAR1032B_1_ZELAZNA_64,106
WAW,14_WAR1032B_1_ZELAZNA_64,88
WAW,14_WAR1032B_1_ZELAZNA_64,98
WAW,14_WAR1032B_1_ZELAZNA_64,108
WAW,14_WAR8214A_1_METRO_STADION,10
WAW,14_WAR1083A_1_MARSZALKOWSKA,124
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,89
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,99
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,116
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,126
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,86
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,96
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,88
WAW,14_WAR2038A_1_WYB_GDYNSKIE_4,98
WAW,14_WAR1083A_1_MARSZALKOWSKA,134
WAW,14_WAR1083A_1_MARSZALKOWSKA,104
WAW,14_WAR3008H_1_KOPERNIKA_6,69
